onset	duration	trial_type	value	sample
169.112	0.0	n/a	128	169112
171.12	0.0	word/prime/unprimed	1	171120
171.906	0.0	nonword/target	10	171906
173.659	0.0	n/a	128	173659
175.065	0.0	word/prime/primed	5	175065
175.684	0.0	word/target/primed	6	175684
177.972	0.0	n/a	128	177972
179.076	0.0	word/prime/unprimed	1	179076
179.746	0.0	nonword/target	10	179746
181.449	0.0	n/a	128	181449
182.553	0.0	word/prime/unprimed	1	182553
183.29	0.0	nonword/target	10	183290
185.076	0.0	n/a	128	185076
186.081	0.0	word/prime/primed	5	186081
186.783	0.0	word/target/primed	6	186783
189.138	0.0	n/a	128	189138
190.076	0.0	word/prime/unprimed	1	190076
190.678	0.0	nonword/target	10	190678
192.298	0.0	n/a	128	192298
193.185	0.0	word/prime/primed	5	193185
193.738	0.0	word/target/primed	6	193738
195.908	0.0	n/a	128	195908
196.629	0.0	word/prime/unprimed	1	196629
197.164	0.0	word/target/unprimed	2	197164
199.954	0.0	n/a	128	199954
200.49	0.0	word/prime/primed	5	200490
201.076	0.0	word/target/primed	6	201076
203.331	0.0	n/a	128	203331
203.833	0.0	word/prime/unprimed	1	203833
204.369	0.0	nonword/target	10	204369
206.039	0.0	n/a	128	206039
206.474	0.0	word/prime/unprimed	1	206474
207.044	0.0	nonword/target	10	207044
208.596	0.0	n/a	128	208596
208.965	0.0	word/prime/unprimed	1	208965
209.551	0.0	word/target/unprimed	2	209551
211.906	0.0	n/a	128	211906
212.66	0.0	word/prime/primed	5	212660
213.229	0.0	word/target/primed	6	213229
215.433	0.0	n/a	128	215433
215.97	0.0	word/prime/primed	5	215970
216.605	0.0	word/target/primed	6	216605
218.743	0.0	n/a	128	218743
219.263	0.0	nonword/prime	9	219263
220.966	0.0	n/a	128	220966
221.452	0.0	word/prime/unprimed	1	221452
222.122	0.0	word/target/unprimed	2	222122
224.611	0.0	n/a	128	224611
224.863	0.0	word/prime/unprimed	1	224863
225.465	0.0	nonword/target	10	225465
227.135	0.0	n/a	128	227135
228.858	0.0	nonword/prime	9	228858
230.612	0.0	n/a	128	230612
230.981	0.0	word/prime/unprimed	1	230981
231.583	0.0	nonword/target	10	231583
233.236	0.0	n/a	128	233236
233.973	0.0	word/prime/unprimed	1	233973
234.709	0.0	nonword/target	10	234709
236.446	0.0	n/a	128	236446
237.333	0.0	word/prime/unprimed	1	237333
238.002	0.0	nonword/target	10	238002
239.622	0.0	n/a	128	239622
240.743	0.0	nonword/prime	9	240743
242.447	0.0	n/a	128	242447
243.552	0.0	nonword/prime	9	243552
245.188	0.0	n/a	128	245188
246.343	0.0	word/prime/unprimed	1	246343
247.096	0.0	nonword/target	10	247096
248.665	0.0	n/a	128	248665
249.619	0.0	word/prime/unprimed	1	249619
250.205	0.0	nonword/target	10	250205
251.808	0.0	n/a	128	251808
252.679	0.0	word/prime/primed	5	252679
253.314	0.0	word/target/primed	6	253314
255.82	0.0	n/a	128	255820
256.791	0.0	word/prime/primed	5	256791
257.528	0.0	word/target/primed	6	257528
259.832	0.0	n/a	128	259832
260.619	0.0	word/prime/unprimed	1	260619
261.222	0.0	nonword/target	10	261222
262.908	0.0	n/a	128	262908
263.611	0.0	word/prime/unprimed	1	263611
264.214	0.0	nonword/target	10	264214
265.816	0.0	n/a	128	265816
266.955	0.0	nonword/prime	9	266955
268.675	0.0	n/a	128	268675
269.646	0.0	word/prime/unprimed	1	269646
270.265	0.0	word/target/unprimed	2	270265
272.704	0.0	n/a	128	272704
273.273	0.0	word/prime/unprimed	1	273273
273.876	0.0	word/target/unprimed	2	273876
276.197	0.0	n/a	128	276197
277.018	0.0	nonword/prime	9	277018
278.655	0.0	n/a	128	278655
279.742	0.0	word/prime/unprimed	1	279742
280.345	0.0	nonword/target	10	280345
282.098	0.0	n/a	128	282098
283.086	0.0	word/prime/unprimed	1	283086
283.671	0.0	word/target/unprimed	2	283671
286.093	0.0	n/a	128	286093
286.713	0.0	word/prime/unprimed	1	286713
287.382	0.0	nonword/target	10	287382
289.052	0.0	n/a	128	289052
290.04	0.0	nonword/prime	9	290040
291.777	0.0	n/a	128	291777
292.33	0.0	word/prime/unprimed	1	292330
292.882	0.0	word/target/unprimed	2	292882
295.171	0.0	n/a	128	295171
295.774	0.0	word/prime/unprimed	1	295774
296.376	0.0	nonword/target	10	296376
298.029	0.0	n/a	128	298029
298.682	0.0	word/prime/primed	5	298682
299.251	0.0	word/target/primed	6	299251
302.693	0.0	n/a	128	302693
303.496	0.0	word/prime/unprimed	1	303496
303.982	0.0	nonword/target	10	303982
305.601	0.0	n/a	128	305601
305.937	0.0	word/prime/unprimed	1	305937
306.473	0.0	nonword/target	10	306473
308.109	0.0	n/a	128	308109
308.795	0.0	word/prime/unprimed	1	308795
309.415	0.0	nonword/target	10	309415
311.001	0.0	n/a	128	311001
311.57	0.0	word/prime/unprimed	1	311570
312.19	0.0	nonword/target	10	312190
313.792	0.0	n/a	128	313792
314.312	0.0	word/prime/unprimed	1	314312
314.998	0.0	nonword/target	10	314998
316.617	0.0	n/a	128	316617
317.438	0.0	word/prime/unprimed	1	317438
318.007	0.0	nonword/target	10	318007
319.609	0.0	n/a	128	319609
324.592	0.0	word/prime/unprimed	1	324592
325.245	0.0	word/target/unprimed	2	325245
327.984	0.0	n/a	128	327984
329.056	0.0	nonword/prime	9	329056
330.759	0.0	n/a	128	330759
331.764	0.0	word/prime/primed	5	331764
332.35	0.0	word/target/primed	6	332350
334.521	0.0	n/a	128	334521
335.525	0.0	word/prime/unprimed	1	335525
336.116	0.0	nonword/target	10	336116
337.697	0.0	n/a	128	337697
338.55	0.0	word/prime/unprimed	1	338550
339.103	0.0	nonword/target	10	339103
340.689	0.0	n/a	128	340689
341.643	0.0	word/prime/unprimed	1	341643
342.162	0.0	word/target/unprimed	2	342162
345.102	0.0	n/a	128	345102
345.939	0.0	word/prime/unprimed	1	345939
346.441	0.0	nonword/target	10	346441
347.994	0.0	n/a	128	347994
348.848	0.0	word/prime/primed	5	348848
349.384	0.0	word/target/primed	6	349384
351.421	0.0	n/a	128	351421
352.408	0.0	word/prime/primed	5	352408
352.911	0.0	word/target/primed	6	352911
355.082	0.0	n/a	128	355082
355.618	0.0	word/prime/unprimed	1	355618
356.154	0.0	word/target/unprimed	2	356154
358.609	0.0	n/a	128	358609
359.329	0.0	word/prime/unprimed	1	359329
359.832	0.0	word/target/unprimed	2	359832
362.203	0.0	n/a	128	362203
362.906	0.0	word/prime/unprimed	1	362906
363.409	0.0	nonword/target	10	363409
364.945	0.0	n/a	128	364945
367.336	0.0	nonword/prime	9	367336
369.024	0.0	n/a	128	369024
369.877	0.0	word/prime/unprimed	1	369877
370.363	0.0	word/target/unprimed	2	370363
372.517	0.0	n/a	128	372517
373.521	0.0	word/prime/unprimed	1	373521
374.007	0.0	nonword/target	10	374007
375.609	0.0	n/a	128	375609
376.447	0.0	word/prime/unprimed	1	376447
376.932	0.0	nonword/target	10	376932
378.485	0.0	n/a	128	378485
379.372	0.0	word/prime/unprimed	1	379372
379.874	0.0	word/target/unprimed	2	379874
382.664	0.0	n/a	128	382664
383.467	0.0	word/prime/unprimed	1	383467
384.003	0.0	nonword/target	10	384003
385.572	0.0	n/a	128	385572
386.192	0.0	word/prime/unprimed	1	386192
386.745	0.0	nonword/target	10	386745
388.381	0.0	n/a	128	388381
389.786	0.0	word/prime/unprimed	1	389786
390.423	0.0	word/target/unprimed	2	390423
392.744	0.0	n/a	128	392744
393.614	0.0	word/prime/unprimed	1	393614
394.167	0.0	nonword/target	10	394167
395.87	0.0	n/a	128	395870
396.657	0.0	nonword/prime	9	396657
398.461	0.0	n/a	128	398461
399.549	0.0	word/prime/unprimed	1	399549
400.051	0.0	nonword/target	10	400051
401.671	0.0	n/a	128	401671
402.474	0.0	word/prime/unprimed	1	402474
402.993	0.0	word/target/unprimed	2	402993
405.164	0.0	n/a	128	405164
405.767	0.0	word/prime/unprimed	1	405767
406.269	0.0	word/target/unprimed	2	406269
408.474	0.0	n/a	128	408474
409.093	0.0	word/prime/unprimed	1	409093
409.546	0.0	nonword/target	10	409546
411.082	0.0	n/a	128	411082
411.685	0.0	word/prime/primed	5	411685
412.137	0.0	word/target/primed	6	412137
414.441	0.0	n/a	128	414441
414.995	0.0	word/prime/unprimed	1	414995
415.48	0.0	nonword/target	10	415480
416.982	0.0	n/a	128	416982
419.374	0.0	word/prime/unprimed	1	419374
419.993	0.0	nonword/target	10	419993
421.663	0.0	n/a	128	421663
422.066	0.0	word/prime/unprimed	1	422066
422.869	0.0	nonword/target	10	422869
424.638	0.0	n/a	128	424638
425.643	0.0	word/prime/unprimed	1	425643
426.229	0.0	nonword/target	10	426229
427.815	0.0	n/a	128	427815
428.652	0.0	word/prime/unprimed	1	428652
429.388	0.0	nonword/target	10	429388
430.991	0.0	n/a	128	430991
432.447	0.0	word/prime/unprimed	1	432447
433.166	0.0	nonword/target	10	433166
434.735	0.0	n/a	128	434735
435.639	0.0	word/prime/unprimed	1	435639
436.392	0.0	nonword/target	10	436392
438.062	0.0	n/a	128	438062
438.916	0.0	word/prime/unprimed	1	438916
439.468	0.0	nonword/target	10	439468
441.087	0.0	n/a	128	441087
441.941	0.0	word/prime/unprimed	1	441941
442.611	0.0	word/target/unprimed	2	442611
445.183	0.0	n/a	128	445183
445.836	0.0	nonword/prime	9	445836
447.456	0.0	n/a	128	447456
448.227	0.0	word/prime/unprimed	1	448227
448.963	0.0	nonword/target	10	448963
450.549	0.0	n/a	128	450549
451.252	0.0	word/prime/unprimed	1	451252
451.838	0.0	nonword/target	10	451838
453.407	0.0	n/a	128	453407
453.81	0.0	word/prime/unprimed	1	453810
454.446	0.0	nonword/target	10	454446
456.082	0.0	n/a	128	456082
457.003	0.0	word/prime/unprimed	1	457003
457.505	0.0	nonword/target	10	457505
459.108	0.0	n/a	128	459108
459.694	0.0	word/prime/unprimed	1	459694
460.247	0.0	nonword/target	10	460247
461.816	0.0	n/a	128	461816
462.302	0.0	word/prime/primed	5	462302
463.206	0.0	word/target/primed	6	463206
465.426	0.0	n/a	128	465426
467.718	0.0	word/prime/primed	5	467718
468.454	0.0	word/target/primed	6	468454
470.776	0.0	n/a	128	470776
471.228	0.0	word/prime/unprimed	1	471228
471.764	0.0	nonword/target	10	471764
473.5	0.0	n/a	128	473500
473.803	0.0	word/prime/unprimed	1	473803
474.322	0.0	nonword/target	10	474322
476.041	0.0	n/a	128	476041
476.527	0.0	word/prime/unprimed	1	476527
477.18	0.0	word/target/unprimed	2	477180
479.485	0.0	n/a	128	479485
479.87	0.0	word/prime/unprimed	1	479870
480.473	0.0	word/target/unprimed	2	480473
482.644	0.0	n/a	128	482644
485.136	0.0	word/prime/unprimed	1	485136
485.706	0.0	word/target/unprimed	2	485706
488.111	0.0	n/a	128	488111
488.864	0.0	word/prime/unprimed	1	488864
489.383	0.0	word/target/unprimed	2	489383
491.638	0.0	n/a	128	491638
492.341	0.0	word/prime/unprimed	1	492341
492.944	0.0	word/target/unprimed	2	492944
495.215	0.0	n/a	128	495215
497.774	0.0	nonword/prime	9	497774
500.029	0.0	n/a	128	500029
500.599	0.0	nonword/prime	9	500599
502.486	0.0	n/a	128	502486
503.24	0.0	word/prime/unprimed	1	503240
503.893	0.0	nonword/target	10	503893
505.496	0.0	n/a	128	505496
506.132	0.0	word/prime/unprimed	1	506132
506.668	0.0	nonword/target	10	506668
508.287	0.0	n/a	128	508287
509.091	0.0	word/prime/unprimed	1	509091
509.66	0.0	nonword/target	10	509660
511.38	0.0	n/a	128	511380
512.0	0.0	word/prime/primed	5	512000
512.602	0.0	word/target/primed	6	512602
514.723	0.0	n/a	128	514723
515.376	0.0	word/prime/primed	5	515376
516.096	0.0	word/target/primed	6	516096
518.484	0.0	n/a	128	518484
519.271	0.0	word/prime/unprimed	1	519271
519.874	0.0	nonword/target	10	519874
521.493	0.0	n/a	128	521493
522.314	0.0	word/prime/unprimed	1	522314
522.949	0.0	nonword/target	10	522949
524.703	0.0	n/a	128	524703
525.406	0.0	nonword/prime	9	525406
527.177	0.0	n/a	128	527177
528.03	0.0	word/prime/unprimed	1	528030
528.6	0.0	nonword/target	10	528600
530.403	0.0	n/a	128	530403
531.741	0.0	word/prime/unprimed	1	531741
532.261	0.0	nonword/target	10	532261
533.847	0.0	n/a	128	533847
534.751	0.0	word/prime/unprimed	1	534751
535.336	0.0	word/target/unprimed	2	535336
537.625	0.0	n/a	128	537625
538.445	0.0	word/prime/unprimed	1	538445
539.031	0.0	nonword/target	10	539031
540.667	0.0	n/a	128	540667
541.688	0.0	word/prime/unprimed	1	541688
542.358	0.0	nonword/target	10	542358
543.926	0.0	n/a	128	543926
544.63	0.0	word/prime/unprimed	1	544630
545.483	0.0	nonword/target	10	545483
547.186	0.0	n/a	128	547186
549.946	0.0	word/prime/unprimed	1	549946
550.699	0.0	nonword/target	10	550699
552.234	0.0	n/a	128	552234
553.256	0.0	word/prime/unprimed	1	553256
553.842	0.0	nonword/target	10	553842
555.394	0.0	n/a	128	555394
556.498	0.0	word/prime/unprimed	1	556498
557.269	0.0	word/target/unprimed	2	557269
559.59	0.0	n/a	128	559590
560.694	0.0	nonword/prime	9	560694
562.281	0.0	n/a	128	562281
562.867	0.0	nonword/prime	9	562867
564.421	0.0	n/a	128	564421
565.074	0.0	word/prime/primed	5	565074
565.66	0.0	word/target/primed	6	565660
567.831	0.0	n/a	128	567831
569.002	0.0	word/prime/unprimed	1	569002
569.622	0.0	word/target/unprimed	2	569622
572.078	0.0	n/a	128	572078
573.248	0.0	nonword/prime	9	573248
574.868	0.0	n/a	128	574868
575.722	0.0	word/prime/primed	5	575722
576.442	0.0	word/target/primed	6	576442
578.731	0.0	n/a	128	578731
579.784	0.0	word/prime/primed	5	579784
580.504	0.0	word/target/primed	6	580504
582.725	0.0	n/a	128	582725
583.379	0.0	word/prime/unprimed	1	583379
583.881	0.0	word/target/unprimed	2	583881
586.169	0.0	n/a	128	586169
586.889	0.0	word/prime/unprimed	1	586889
587.408	0.0	nonword/target	10	587408
589.044	0.0	n/a	128	589044
589.981	0.0	word/prime/unprimed	1	589981
590.584	0.0	word/target/unprimed	2	590584
592.772	0.0	n/a	128	592772
593.425	0.0	word/prime/primed	5	593425
593.977	0.0	word/target/primed	6	593977
596.148	0.0	n/a	128	596148
596.985	0.0	word/prime/unprimed	1	596985
597.521	0.0	nonword/target	10	597521
599.024	0.0	n/a	128	599024
599.794	0.0	nonword/prime	9	599794
601.397	0.0	n/a	128	601397
601.85	0.0	word/prime/unprimed	1	601850
602.419	0.0	nonword/target	10	602419
603.905	0.0	n/a	128	603905
604.591	0.0	word/prime/unprimed	1	604591
605.228	0.0	nonword/target	10	605228
606.813	0.0	n/a	128	606813
607.534	0.0	word/prime/unprimed	1	607534
608.086	0.0	nonword/target	10	608086
609.571	0.0	n/a	128	609571
610.359	0.0	word/prime/unprimed	1	610359
610.961	0.0	word/target/unprimed	2	610961
613.534	0.0	n/a	128	613534
614.554	0.0	nonword/prime	9	614554
616.191	0.0	n/a	128	616191
616.945	0.0	word/prime/unprimed	1	616945
617.531	0.0	word/target/unprimed	2	617531
619.819	0.0	n/a	128	619819
620.505	0.0	nonword/prime	9	620505
622.092	0.0	n/a	128	622092
622.444	0.0	word/prime/unprimed	1	622444
623.081	0.0	word/target/unprimed	2	623081
625.736	0.0	n/a	128	625736
626.139	0.0	word/prime/unprimed	1	626139
626.775	0.0	nonword/target	10	626775
628.579	0.0	n/a	128	628579
630.468	0.0	word/prime/unprimed	1	630468
631.305	0.0	nonword/target	10	631305
632.908	0.0	n/a	128	632908
633.511	0.0	word/prime/unprimed	1	633511
634.063	0.0	word/target/unprimed	2	634063
636.401	0.0	n/a	128	636401
637.339	0.0	word/prime/primed	5	637339
637.992	0.0	word/target/primed	6	637992
640.112	0.0	n/a	128	640112
641.301	0.0	word/prime/unprimed	1	641301
642.003	0.0	nonword/target	10	642003
643.606	0.0	n/a	128	643606
644.711	0.0	nonword/prime	9	644711
646.331	0.0	n/a	128	646331
647.201	0.0	word/prime/primed	5	647201
647.771	0.0	word/target/primed	6	647771
649.941	0.0	n/a	128	649941
651.832	0.0	word/prime/unprimed	1	651832
652.618	0.0	nonword/target	10	652618
654.187	0.0	n/a	128	654187
655.041	0.0	word/prime/unprimed	1	655041
655.794	0.0	nonword/target	10	655794
657.447	0.0	n/a	128	657447
658.636	0.0	nonword/prime	9	658636
660.272	0.0	n/a	128	660272
661.059	0.0	word/prime/primed	5	661059
661.712	0.0	word/target/primed	6	661712
663.85	0.0	n/a	128	663850
664.519	0.0	nonword/prime	9	664519
666.14	0.0	n/a	128	666140
666.593	0.0	word/prime/unprimed	1	666593
667.429	0.0	word/target/unprimed	2	667429
670.436	0.0	n/a	128	670436
671.273	0.0	word/prime/primed	5	671273
671.942	0.0	word/target/primed	6	671942
674.682	0.0	n/a	128	674682
675.218	0.0	word/prime/primed	5	675218
675.754	0.0	word/target/primed	6	675754
677.958	0.0	n/a	128	677958
678.829	0.0	nonword/prime	9	678829
680.432	0.0	n/a	128	680432
682.072	0.0	word/prime/unprimed	1	682072
682.691	0.0	nonword/target	10	682691
684.21	0.0	n/a	128	684210
684.696	0.0	word/prime/unprimed	1	684696
685.399	0.0	nonword/target	10	685399
686.952	0.0	n/a	128	686952
687.689	0.0	word/prime/primed	5	687689
688.258	0.0	word/target/primed	6	688258
690.379	0.0	n/a	128	690379
691.182	0.0	word/prime/primed	5	691182
691.668	0.0	word/target/primed	6	691668
693.671	0.0	n/a	128	693671
694.877	0.0	word/prime/primed	5	694877
695.396	0.0	word/target/primed	6	695396
697.583	0.0	n/a	128	697583
698.053	0.0	nonword/prime	9	698053
699.689	0.0	n/a	128	699689
700.777	0.0	word/prime/unprimed	1	700777
701.38	0.0	word/target/unprimed	2	701380
703.735	0.0	n/a	128	703735
704.505	0.0	word/prime/unprimed	1	704505
705.258	0.0	word/target/unprimed	2	705258
707.78	0.0	n/a	128	707780
708.4	0.0	nonword/prime	9	708400
709.987	0.0	n/a	128	709987
710.456	0.0	nonword/prime	9	710456
712.227	0.0	n/a	128	712227
714.134	0.0	word/prime/primed	5	714134
714.937	0.0	word/target/primed	6	714937
717.258	0.0	n/a	128	717258
717.895	0.0	word/prime/unprimed	1	717895
718.581	0.0	nonword/target	10	718581
720.1	0.0	n/a	128	720100
721.238	0.0	word/prime/unprimed	1	721238
721.941	0.0	word/target/unprimed	2	721941
724.112	0.0	n/a	128	724112
724.866	0.0	word/prime/primed	5	724866
725.518	0.0	word/target/primed	6	725518
727.624	0.0	n/a	128	727624
728.276	0.0	word/prime/primed	5	728276
729.012	0.0	word/target/primed	6	729012
731.067	0.0	n/a	128	731067
731.92	0.0	word/prime/primed	5	731920
732.539	0.0	word/target/primed	6	732539
734.577	0.0	n/a	128	734577
735.598	0.0	nonword/prime	9	735598
737.251	0.0	n/a	128	737251
737.871	0.0	word/prime/unprimed	1	737871
738.44	0.0	word/target/unprimed	2	738440
740.594	0.0	n/a	128	740594
741.632	0.0	word/prime/primed	5	741632
742.235	0.0	word/target/primed	6	742235
744.473	0.0	n/a	128	744473
745.126	0.0	word/prime/primed	5	745126
745.695	0.0	word/target/primed	6	745695
747.782	0.0	n/a	128	747782
748.419	0.0	word/prime/unprimed	1	748419
748.905	0.0	nonword/target	10	748905
750.524	0.0	n/a	128	750524
751.294	0.0	word/prime/unprimed	1	751294
751.83	0.0	word/target/unprimed	2	751830
754.268	0.0	n/a	128	754268
754.554	0.0	word/prime/unprimed	1	754554
755.274	0.0	nonword/target	10	755274
756.893	0.0	n/a	128	756893
757.212	0.0	nonword/prime	9	757212
758.949	0.0	n/a	128	758949
759.836	0.0	word/prime/unprimed	1	759836
760.473	0.0	word/target/unprimed	2	760473
762.76	0.0	n/a	128	762760
764.784	0.0	word/prime/primed	5	764784
765.37	0.0	word/target/primed	6	765370
767.441	0.0	n/a	128	767441
767.928	0.0	word/prime/unprimed	1	767928
768.597	0.0	nonword/target	10	768597
770.216	0.0	n/a	128	770216
771.12	0.0	word/prime/unprimed	1	771120
771.789	0.0	word/target/unprimed	2	771789
774.161	0.0	n/a	128	774161
775.165	0.0	word/prime/unprimed	1	775165
775.785	0.0	nonword/target	10	775785
777.387	0.0	n/a	128	777387
778.124	0.0	word/prime/unprimed	1	778124
778.877	0.0	word/target/unprimed	2	778877
781.132	0.0	n/a	128	781132
782.387	0.0	word/prime/unprimed	1	782387
783.006	0.0	nonword/target	10	783006
784.625	0.0	n/a	128	784625
785.162	0.0	word/prime/unprimed	1	785162
785.915	0.0	nonword/target	10	785915
787.835	0.0	n/a	128	787835
788.17	0.0	word/prime/primed	5	788170
788.857	0.0	word/target/primed	6	788857
791.396	0.0	n/a	128	791396
791.982	0.0	word/prime/unprimed	1	791982
792.802	0.0	nonword/target	10	792802
795.407	0.0	n/a	128	795407
796.746	0.0	word/prime/primed	5	796746
797.466	0.0	word/target/primed	6	797466
799.687	0.0	n/a	128	799687
800.039	0.0	word/prime/primed	5	800039
800.642	0.0	word/target/primed	6	800642
802.746	0.0	n/a	128	802746
805.372	0.0	nonword/prime	9	805372
807.025	0.0	n/a	128	807025
807.846	0.0	word/prime/unprimed	1	807846
808.666	0.0	nonword/target	10	808666
810.335	0.0	n/a	128	810335
811.089	0.0	word/prime/unprimed	1	811089
811.608	0.0	word/target/unprimed	2	811608
814.029	0.0	n/a	128	814029
814.816	0.0	nonword/prime	9	814816
816.67	0.0	n/a	128	816670
817.892	0.0	word/prime/unprimed	1	817892
818.511	0.0	nonword/target	10	818511
820.131	0.0	n/a	128	820131
820.533	0.0	nonword/prime	9	820533
822.354	0.0	n/a	128	822354
822.907	0.0	word/prime/unprimed	1	822907
823.51	0.0	nonword/target	10	823510
825.079	0.0	n/a	128	825079
825.682	0.0	nonword/prime	9	825682
827.269	0.0	n/a	128	827269
828.624	0.0	word/prime/unprimed	1	828624
829.461	0.0	nonword/target	10	829461
831.197	0.0	n/a	128	831197
831.683	0.0	word/prime/primed	5	831683
832.286	0.0	word/target/primed	6	832286
834.473	0.0	n/a	128	834473
835.545	0.0	word/prime/unprimed	1	835545
836.164	0.0	nonword/target	10	836164
837.783	0.0	n/a	128	837783
838.621	0.0	word/prime/unprimed	1	838621
839.307	0.0	nonword/target	10	839307
841.077	0.0	n/a	128	841077
842.098	0.0	word/prime/unprimed	1	842098
842.7	0.0	word/target/unprimed	2	842700
845.005	0.0	n/a	128	845005
845.925	0.0	word/prime/unprimed	1	845925
846.695	0.0	word/target/unprimed	2	846695
849.134	0.0	n/a	128	849134
849.837	0.0	nonword/prime	9	849837
851.474	0.0	n/a	128	851474
851.993	0.0	word/prime/unprimed	1	851993
